side,made_new_ext,mins,pull_pts,pull_pct,dist_edge_pts,dist_edge_pct
long,False,,15.900000000000091,278.947368421052,-10.200000000000045,-178.947368421052
short,True,1.0,0.0,0.0,1.0,9.61538461538453
long,True,152.0,5.7000000000000455,57.00000000000045,-3.2000000000000455,-32.000000000000455
short,True,10.0,0.0,0.0,1.0,13.333333333333334
long,True,0.0,-0.2999999999999545,-5.263157894736002,0.7999999999999545,14.035087719297334
long,True,59.0,13.5,118.42105263157798,-3.0,-26.315789473684
long,True,0.0,0.2999999999999545,3.333333333332828,4.7000000000000455,52.222222222222726
short,True,8.0,1.2999999999999545,24.528301886791805,-0.7999999999999545,-15.094339622640781
short,False,,8.0,111.1111111111104,-7.7999999999999545,-108.33333333333202
short,True,34.0,4.0,76.92307692307625,-1.7000000000000455,-32.69230769230828
long,True,0.0,-0.2999999999999545,-2.0833333333330373,3.5,24.305555555555785
short,False,,7.7999999999999545,101.29870129870011,-5.5,-71.42857142857102
long,True,0.0,-0.2999999999999545,-7.499999999998863,1.0,25.0
short,True,168.0,3.5,77.77777777777779,-2.0,-44.44444444444444
short,True,0.0,0.20000000000004547,1.5384615384618883,1.0,7.6923076923076925
short,True,0.0,0.0,0.0,0.7999999999999545,6.45161290322551
short,True,0.0,0.5,3.937007874015735,0.0,0.0
short,True,0.0,0.20000000000004547,4.0000000000009095,2.5,50.0
short,True,0.0,1.5,16.666666666666664,7.400000000000091,82.22222222222322
short,True,244.0,8.700000000000045,100.0,-4.2000000000000455,-48.275862068965786
short,True,6.0,0.0,0.0,1.5,24.193548387097483
short,True,2.0,0.5,5.0,0.20000000000004547,2.0000000000004547
long,True,18.0,3.0,50.0,-2.300000000000182,-38.33333333333637
long,True,0.0,0.1999999999998181,0.9569377990421981,0.8000000000001819,3.8277511961731445
short,True,8.0,4.2000000000000455,70.00000000000077,0.0,0.0
long,True,5.0,0.0,0.0,0.7999999999999545,11.940298507461927
short,True,0.0,0.0,0.0,1.0,9.174311926605426
long,True,45.0,3.2000000000000455,53.33333333333409,1.5,25.0
long,True,28.0,3.2000000000000455,29.629629629630173,2.5,23.14814814814824
short,True,0.0,0.5,2.941176470588235,4.400000000000091,25.882352941177007
short,True,0.0,0.2999999999999545,3.448275862068425,1.5,17.241379310344737
short,True,27.0,1.5,10.135135135135165,-1.2999999999999545,-8.783783783783502
long,True,103.0,7.7999999999999545,103.9999999999994,0.0,0.0
short,True,0.0,0.20000000000004547,1.3793103448278998,4.0,27.586206896551722
short,True,4.0,0.8000000000001819,8.888888888890909,1.8999999999998636,21.111111111109597
short,True,0.0,-0.2999999999999545,-4.615384615383915,3.2999999999999545,50.76923076923007
short,True,2.0,0.5,2.7027027027027026,0.8999999999998636,4.864864864864128
short,True,62.0,12.700000000000045,105.83333333333371,-9.5,-79.16666666666666
long,True,1.0,0.2999999999999545,4.166666666666009,1.7999999999999545,24.99999999999921
short,True,15.0,4.0,38.46153846153812,-1.7999999999999545,-17.307692307691717
short,True,4.0,3.0,35.714285714285325,1.699999999999818,20.238095238092853
long,True,8.0,2.3999999999998636,25.80645161290188,-0.3999999999998636,-4.301075268815758
long,True,16.0,1.5,17.045454545454632,4.2000000000000455,47.72727272727349
short,True,0.0,0.2999999999999545,4.054054054053514,4.600000000000136,62.162162162165146
long,True,2.0,1.0,10.416666666666767,2.5,26.04166666666692
long,True,1.0,0.20000000000004547,3.5087719298253313,2.5,43.859649122806665
short,True,1.0,1.0,17.543859649122666,1.5,26.315789473684
short,True,2.0,0.20000000000004547,2.777777777778392,1.2000000000000455,16.666666666667194
long,True,55.0,3.400000000000091,48.57142857142987,-3.2000000000000455,-45.71428571428636
short,True,7.0,2.0,16.129032258064395,-1.300000000000182,-10.483870967743323
short,True,35.0,1.2000000000000455,8.955223880597446,-0.7999999999999545,-5.970149253731065
long,False,,17.799999999999955,273.84615384615313,-14.599999999999909,-224.6153846153832
long,True,44.0,2.3999999999998636,32.432432432431185,1.6000000000001364,21.621621621623863
short,True,5.0,1.0,15.15151515151536,0.8000000000001819,12.121212121215045
short,True,29.0,4.7000000000000455,65.277777777778,-4.0,-55.5555555555552
short,True,2.0,0.7999999999999545,9.876543209876093,0.5,6.172839506172909
long,True,51.0,6.7000000000000455,58.77192982456132,-5.0,-43.85964912280666
short,True,13.0,3.2000000000000455,26.446280991736117,2.7000000000000455,22.314049586777408
short,False,,12.5,100.80645161290246,-12.200000000000045,-98.38709677419318
short,True,3.0,0.2999999999999545,4.9999999999992415,2.900000000000091,48.33333333333485
long,True,63.0,11.299999999999955,114.14141414141261,-7.400000000000091,-74.74747474747497
short,True,3.0,1.2000000000000455,12.37113402061897,1.7999999999999545,18.556701030927282
long,True,4.0,0.5,6.7567567567568805,1.5,20.270270270270643
long,False,,17.5,307.01754385964665,-11.100000000000136,-194.736842105264
short,True,2.0,1.0,13.88888888888924,-0.7999999999999545,-11.11111111111076
short,True,147.0,8.400000000000091,67.7419354838712,-6.2000000000000455,-49.99999999999999
long,True,13.0,3.2000000000000455,27.826086956522133,0.7000000000000455,6.086956521739526
long,False,,11.700000000000045,146.25000000000057,-3.5,-43.75
short,True,0.0,0.5,8.474576271186637,7.0,118.64406779661292
long,True,2.0,1.0,8.695652173913043,3.7000000000000455,32.173913043478656
long,True,3.0,1.0,14.925373134328257,0.2999999999999545,4.477611940297798
short,True,32.0,3.699999999999818,34.57943925233461,-2.5,-23.364485981308317
short,True,0.0,-0.2999999999999545,-3.6585365853653804,3.0,36.58536585365935
long,True,41.0,3.0,40.540540540541286,-2.8999999999998636,-39.18918918918807
short,True,245.0,16.90000000000009,268.25396825397166,-16.5,-261.9047619047638
long,True,1.0,0.2999999999999545,2.5210084033609914,2.0,16.806722689075823
short,True,0.0,0.5,6.32911392405056,0.5,6.32911392405056
short,True,302.0,20.09999999999991,410.2040816326626,-18.59999999999991,-379.5918367347026
long,True,0.0,0.0,0.0,3.0,36.58536585365834
long,True,0.0,0.7000000000000455,10.144927536232744,0.6000000000001364,8.695652173915192
long,True,40.0,3.5,44.87179487179514,0.20000000000004547,2.5641025641031625
long,True,30.0,1.2000000000000455,7.792207792208041,-0.7000000000000455,-4.545454545454813
short,True,42.0,2.7999999999999545,49.12280701754267,-2.5,-43.859649122806665
long,True,57.0,3.0,26.315789473684,-1.5,-13.157894736842
short,True,0.0,-0.2999999999999545,-3.5714285714280884,0.7999999999999545,9.523809523809138
short,True,0.0,-0.2999999999999545,-5.454545454544628,0.7999999999999545,14.545454545453717
long,False,,12.399999999999864,101.63934426229359,-4.7000000000000455,-38.52459016393466
long,True,2.0,1.0,12.5,4.2000000000000455,52.50000000000057
short,True,0.0,0.5,8.62068965517248,7.900000000000091,136.20689655172677
long,True,0.0,-0.2999999999999545,-3.79746835442976,2.7999999999999545,35.44303797468256
short,False,,7.2999999999999545,85.88235294117594,-6.099999999999909,-71.76470588235188
short,False,,10.200000000000045,139.7260273972618,-7.0,-95.89041095890471
long,True,3.0,1.0,8.928571428571393,0.2999999999999545,2.6785714285710123
short,True,0.0,0.0,0.0,2.0,33.33333333333333
short,True,0.0,-0.20000000000004547,-2.98507462686633,1.5,22.388059701492384
long,True,0.0,0.5,7.6923076923076925,0.7000000000000455,10.76923076923147
short,True,3.0,1.5,20.547945205479582,-0.2999999999999545,-4.109589041095293
long,True,16.0,1.2000000000000455,19.35483870967801,4.7999999999999545,77.41935483870837
long,True,9.0,3.0,26.08695652173913,-2.2000000000000455,-19.13043478260909
short,True,31.0,2.2000000000000455,26.829268292683334,-1.0,-12.195121951219443
long,True,0.0,0.7999999999999545,7.920792079207543,1.7000000000000455,16.831683168317436
short,True,67.0,6.699999999999818,77.01149425287308,-6.199999999999818,-71.26436781609135
long,True,0.0,0.0,0.0,3.0,40.54054054054004
short,True,157.0,10.899999999999864,147.29729729729817,-8.599999999999909,-116.21621621621713
short,True,29.0,2.5,26.595744680850803,-2.2999999999999545,-24.468085106382254
short,True,1.0,0.2999999999999545,3.2967032967028307,5.900000000000091,64.8351648351665
long,False,,14.599999999999909,221.2121212121229,-7.899999999999864,-119.69696969696928
long,True,22.0,1.2000000000000455,15.584415584416083,-0.7000000000000455,-9.090909090909628
short,True,50.0,4.7000000000000455,44.339622641509294,-4.2000000000000455,-39.62264150943388
long,False,,11.700000000000045,112.5000000000019,-11.599999999999909,-111.53846153846212
long,True,10.0,0.3000000000001819,4.347826086959244,1.5,21.73913043478304
long,True,0.0,0.5,6.25,3.0,37.5
long,True,1.0,0.1999999999998181,3.5087719298213425,4.5,78.947368421052
long,True,207.0,9.200000000000045,112.19512195121943,-6.7000000000000455,-81.70731707317084
long,True,31.0,5.7000000000000455,91.9354838709678,-4.7000000000000455,-75.8064516129034
long,True,2.0,0.5,8.0645161290322,2.2000000000000455,35.48387096774241
short,True,181.0,11.100000000000136,185.00000000000227,-8.200000000000045,-136.66666666666742
