side,failed,day_move_pct,fail_time,opp_accept,re_accept,first_after_fail,close_against,close_beyond_opp,close_back_beyond_orig
short,True,-1.0272364404789847,11:45:00,False,True,same,False,False,True
short,True,-0.9674374705049615,11:45:00,False,True,same,False,False,True
short,True,-0.14917357837579415,14:00:00,False,True,same,False,False,True
long,True,1.1569267279738948,11:15:00,False,True,same,False,False,True
long,True,0.4171317783913997,10:45:00,False,True,same,False,False,True
short,False,-0.6094345150893687,,,,,,,
long,True,-0.2636667252592706,11:00:00,True,True,same,True,True,False
short,True,-0.3754106053495909,12:30:00,False,True,same,False,False,False
short,False,-0.9688784497944858,,,,,,,
short,False,-0.6633012444235753,,,,,,,
short,False,-1.897801614899508,,,,,,,
long,True,0.006003842459190167,14:00:00,False,True,same,False,False,False
long,True,0.17976989453498682,13:15:00,True,False,opposite,False,False,False
long,True,0.68763453719205,11:30:00,False,True,same,False,False,True
short,False,-0.32554010062149086,,,,,,,
short,False,-1.1425526876628012,,,,,,,
short,True,-0.20353187668363804,14:15:00,False,True,same,False,False,True
short,False,-0.8621721949467198,,,,,,,
short,True,-0.3576841467111347,13:30:00,False,True,same,False,False,True
short,True,1.681587224776182,11:45:00,True,False,opposite,True,True,False
long,True,0.8256117842718069,11:00:00,False,True,same,False,False,True
long,True,0.47122577604994387,12:30:00,False,True,same,False,False,True
short,True,0.9536547072163559,10:30:00,True,False,opposite,True,True,False
long,True,0.46106852630971584,10:45:00,False,True,same,False,False,True
long,True,0.6052570901544874,14:00:00,False,True,same,False,False,True
long,True,0.3999085923217516,10:45:00,False,True,same,False,False,True
long,True,-0.36456849900313726,12:00:00,True,True,same,True,True,False
short,True,0.0858467349625025,10:45:00,False,True,same,True,False,False
short,True,0.14972646127267009,13:45:00,False,False,none,True,False,False
long,True,0.37991700274708773,11:30:00,False,True,same,False,False,False
long,False,0.31884057971014457,,,,,,,
short,False,-2.820408872415592,,,,,,,
long,True,-0.23181169757490183,12:00:00,False,False,none,True,False,False
short,False,-0.9095204346799002,,,,,,,
short,True,0.15399194503671332,10:45:00,True,True,same,True,True,False
long,True,0.6464883925947795,13:00:00,False,True,same,False,False,True
long,True,0.14581510644502416,12:45:00,False,False,none,False,False,False
short,True,-0.26251312565628293,10:45:00,True,False,opposite,False,False,False
long,False,0.9128923964897728,,,,,,,
short,False,-1.3926272674078422,,,,,,,
short,True,-0.4128275697020567,10:45:00,True,True,opposite,False,False,True
short,True,-0.23445954069977182,11:00:00,False,True,same,False,False,True
short,True,-0.17500452597911664,10:45:00,False,True,same,False,False,False
long,True,0.4205972480922915,14:00:00,False,True,same,False,False,True
short,False,-1.158278106155597,,,,,,,
short,True,0.6345561128905608,11:30:00,True,False,opposite,True,True,False
short,True,-0.4531174480425282,10:45:00,False,True,same,False,False,True
long,True,0.8551673944687144,11:15:00,False,True,same,False,False,True
long,True,0.9047044632086942,11:15:00,False,True,same,False,False,True
long,True,0.5957345406886638,13:15:00,False,True,same,False,False,True
short,False,-0.5636978579481422,,,,,,,
short,False,-1.1578633243807923,,,,,,,
