date,side,orb_range,accept_close,p1_pull_pts,p1_pull_pct_range,p1_dist_level_pts,p1_dist_level_pct_range,p1_reentered,p1_closed_cont,already_beyond_pdh,touched_pdh,mins_to_pdh,pull_before_pdh_pts,pull_before_pdh_pct_range,dist_level_before_pdh_pts,dist_level_before_pdh_pct_range,eod_close_beyond_pdh,touched_pdh_daily,already_beyond_pdh_daily
2015-01-23,long,19.700000000000728,4276.4,5.299999999999272,26.903553299487697,-1.5,-7.614213197969262,True,False,True,True,0.0,2.7999999999992724,14.21319796953893,1.0,5.076142131979508,True,True,False
2015-01-26,long,21.89999999999964,4270.8,0.3000000000001819,1.3698630136994832,0.1000000000003638,0.45662100456787874,False,True,False,False,,,,,,False,False,False
2015-01-27,short,27.5,4171.0,0.3000000000001819,1.0909090909097525,5.399999999999636,19.636363636362315,False,True,True,True,0.0,0.3000000000001819,1.0909090909097525,5.399999999999636,19.636363636362315,True,True,False
2015-01-28,short,24.300000000000185,4187.4,5.200000000000728,21.399176954735342,13.899999999999636,57.201646090533046,False,True,False,True,295.0,28.5,117.28395061728305,-9.399999999999636,-38.68312757201467,True,False,False
2015-01-29,long,41.80000000000018,4141.3,1.5,3.588516746411468,0.1999999999998181,0.47846889952109384,False,True,False,False,,,,,,False,False,False
2015-01-30,short,34.099999999999454,4166.9,7.700000000000728,22.580645161292818,-3.800000000000182,-11.143695014663468,True,False,False,False,,,,,,False,True,False
2015-02-02,short,50.69999999999982,4100.7,16.5,32.54437869822497,-8.0,-15.779092702169681,True,False,True,True,0.0,3.199999999999818,6.311637080867515,5.300000000000182,10.453648915187772,False,False,False
2015-02-03,short,22.0,4183.6,2.5,11.363636363636363,5.599999999999454,25.454545454542977,False,True,False,False,,,,,,False,False,False
2015-02-04,long,13.299999999999272,4224.9,4.299999999999272,32.33082706766547,8.700000000000728,65.41353383459551,False,True,True,True,0.0,2.0,15.03759398496323,11.0,82.70676691729776,False,True,False
2015-02-05,long,25.699999999999815,4242.2,1.8999999999996362,7.392996108948053,-1.0,-3.8910505836576155,True,False,False,True,2.0,1.8999999999996362,7.392996108948053,-1.0,-3.8910505836576155,True,True,False
